    142    Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
    141    Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz
    139    Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz
    138    Intel(R) Pentium(R) D CPU 3.00GHz
    138    AMD Ryzen 7 1700X Eight-Core Processor 
    137    Intel(R) Pentium(R) Dual  CPU  E2180  @ 2.00GHz
    137    Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz
    135    Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz
    132    AMD Athlon(tm) II X4 640 Processor 
    132    AMD Athlon(tm) 64 X2 Dual Core Processor 4200+ 
    131    Intel(R) Core(TM) i5 CPU       M 520  @ 2.40GHz
    131    Intel(R) Core(TM)2 Duo CPU     E8200  @ 2.66GHz
    130    Six-Core AMD Opteron(tm) Processor 2435 
    129    Intel(R) Core(TM)2 Duo CPU     P8400  @ 2.26GHz
    124    Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
    124    AMD Ryzen Threadripper 1950X 16-Core Processor 
    121    Intel(R) Core(TM) i5-4430 CPU @ 3.00GHz
    120    Intel(R) Celeron(R) CPU  J1800  @ 2.41GHz
    119    Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
    119    Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz
    119    Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz
    118    Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz
    117    Intel(R) Xeon(R) CPU            5130  @ 2.00GHz
    117    Intel(R) Core(TM)2 Duo CPU     E7300  @ 2.66GHz
    116    Intel(R) Core(TM) i7-4770S CPU @ 3.10GHz
    116    Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz
    116    Intel(R) Core(TM) i5-2540M CPU @ 2.60GHz
    115    Intel(R) Pentium(R) D CPU 2.80GHz
    114    Intel Core Processor (Haswell, no TSX) 
    113    Intel(R) Core(TM) i7 CPU         930  @ 2.80GHz
    113    Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz
    113    Intel(R) Core(TM) i3-2130 CPU @ 3.40GHz
    113    Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz
    112    Intel(R) Core(TM) i5 CPU         760  @ 2.80GHz
    111    Intel(R) Pentium(R) CPU G3260 @ 3.30GHz
    111    Intel(R) Core(TM) i7-6700T CPU @ 2.80GHz
    111    Intel(R) Core(TM) i3 CPU       M 380  @ 2.53GHz
    110    Intel(R) Pentium(R) 4 CPU 2.40GHz
    110    Intel(R) Core(TM) i7-4700HQ CPU @ 2.40GHz
    110    AMD Athlon(tm) 64 X2 Dual Core Processor 3800+ 
    109    Intel(R) Core(TM) i3 CPU         530  @ 2.93GHz
    109    Intel(R) Core(TM) i3-6006U CPU @ 2.00GHz
    108    Intel(R) Pentium(R) CPU G4560 @ 3.50GHz
    108    Intel(R) Core(TM) i3 CPU       M 330  @ 2.13GHz
    108    Intel(R) Core(TM)2 Duo CPU     P8600  @ 2.40GHz
